Company1,Company2,Relationship
AAPL,INTC,Partnership
SHW,WSM,Branding
NVDA,TSM,Partnership
CSPR,WSM,Branding
BMWYY,LVMUY,Branding
SBUX,SPOT,Branding
AAPL,MA,Branding
UBER,SPOT,Branding
LEVI,PINS,Branding
AMZN,AXP,Branding
NKE,AAPL,Branding
MSFT,INTC,Partnership
AMZN,INTC,Partnership
GOOGL,INTC,Partnership
COIN,NVDA,Partnership
NFLX,AMZN,Partnership
MSFT,AMZN,Partnership
FB,AMZN,Partnership
GOOGL,VZ,Partnership
GOOGL,FB,Partnership
GOOGL,SAP,Partnership
MSFT,EBAY,Partnership
MSFT,BA,Partnership
MSFT,BMWYY,Partnership
DMLRY,TSM,Partnership
FB,AMZN,Partnership
PG,FB,Partnership
FB,MSFT,Partnership
FB,T,Partnership
DELL,INTC,Partnership
LNVGY,INTC,Partnership
HPQ,INTC,Partnership
GIS,HSY,Branding
SJM,K,Branding
QCOM,TSM,Partnership
QCOM,AAPL,Partnership
ZM,VMW,Partnership
ZM,UBER,Partnership
ZM,WDAY,Partnership
AFL,SPLK,Partnership
LUMN,SPLK,Partnership
REI,SPLK,Partnership
CAT,AI,Partnership
BKR,AI,Partnership
ENGIY,AI,Partnership
SPOT,CRM,Partnership
AMZN,CRM,Partnership
TM,CRM,Partnership
TMUS,CRM,Partnership
SQ,SNOW,Partnership
T,SNOW,Partnership
PLTR,MS,Partnership
EADSY,PLTR,Partnership